1,0,0,0,1,1,1,1,1,1,1,0,0,"['f3', 'f4']"
1,1,0,0,1,1,1,0,1,0,1,1,0,"['f1', 'f2', 'f3', 'f4']"
1,0,1,1,1,0,0,0,1,1,0,0,0,"['f1', 'f2', 'f3', 'f4']"
0,0,1,0,0,0,0,1,0,0,1,0,0,"['f1', 'f2', 'f4']"
0,0,0,0,0,0,1,0,1,1,1,1,0,"['f1', 'f2', 'f3', 'f4']"
1,1,1,1,0,0,1,1,1,1,0,1,1,"['f1', 'f2', 'f4']"
1,0,1,1,0,0,0,1,1,1,0,0,0,"['f1', 'f2', 'f3', 'f4']"
1,0,0,0,0,0,0,1,0,0,0,0,0,"['f3', 'f4']"
1,0,1,1,0,0,1,0,1,0,1,0,0,"['f1', 'f2', 'f3', 'f4']"
1,1,0,1,1,1,1,0,0,1,0,1,1,"['f1', 'f2', 'f3', 'f4']"
0,1,0,1,1,0,0,1,0,0,0,1,1,"['f3', 'f4']"
1,1,0,1,1,0,0,0,0,0,1,1,1,"['f1', 'f2', 'f3', 'f4']"
1,0,1,0,1,0,0,1,1,1,1,0,1,"['f1', 'f2', 'f3', 'f4']"
0,1,0,0,0,0,0,1,0,0,1,1,0,"['f3', 'f4']"
0,0,1,0,0,1,0,1,1,1,1,1,0,"['f1', 'f2', 'f4']"
0,0,1,1,1,0,0,1,1,1,1,1,1,"['f1', 'f2', 'f4']"
1,1,0,0,0,1,0,1,1,1,1,0,0,"['f1', 'f2', 'f3', 'f4']"
1,1,1,0,0,1,1,1,0,1,0,0,0,"['f1', 'f2', 'f4']"
1,0,1,1,1,0,0,1,1,1,0,0,0,"['f1', 'f2', 'f3', 'f4']"
1,0,1,1,0,0,0,0,1,0,1,0,0,"['f1', 'f2', 'f3', 'f4']"
1,1,0,1,0,1,0,0,1,1,0,0,1,"['f1', 'f2', 'f3', 'f4']"
0,0,1,1,1,1,1,0,1,0,0,1,1,"['f1', 'f2', 'f4']"
